CRED_APR,RISC_ATUAL,PAGO_DIA,PAGO_ATR,VOL_OPER,VOL_OPER_MED,QTD_TITU_OPER,VOL_TOT_OPER,RECOMP,TICK_MED_CED,L1,L2,L3,L4,L5,VALO_TITU_ORIG,VALO_ABER,VALO_LIQU_CEDE,VALO_LIQU,TICK_MED_SACA,VOL_NEG,REL_TITU_TICK,REL_TITU_LIM,REJEITADO,label
3000000.00,1261143.74,69.0377,17.0731,4719340.1797,786556.6966,8941,5176968.54,11.3427,579.0144,94.7853,5.2146,0,3.296,3.1724,309.78,4645.97,42591.87,171044.82,571.1902,50835.93,53.5012,0.0103,0,1
3000000.00,1261143.74,69.0377,17.0731,4719340.1797,786556.6966,8941,5176968.54,11.3427,579.0144,40.0118,59.9881,0,9.982,9.982,189.00,0.00,3733.73,8105.77,408.7333,4904.80,32.6416,0.0063,1,0
3000000.00,1261143.74,69.0377,17.0731,4719340.1797,786556.6966,8941,5176968.54,11.3427,579.0144,40.0118,59.9881,0,9.982,9.982,189.00,0.00,3733.73,8105.77,408.7333,4904.80,32.6416,0.0063,1,0
3000000.00,1261143.74,69.0377,17.0731,4719340.1797,786556.6966,8941,5176968.54,11.3427,579.0144,40.0118,59.9881,0,9.982,9.982,189.00,0.00,3733.73,8105.77,408.7333,4904.80,32.6416,0.0063,1,0
3000000.00,1261143.74,69.0377,17.0731,4719340.1797,786556.6966,8941,5176968.54,11.3427,579.0144,40.0118,59.9881,0,9.982,9.982,225.31,0.00,3733.73,8105.77,408.7333,4904.80,38.9126,0.0075,1,0
3000000.00,1261143.74,69.0377,17.0731,4719340.1797,786556.6966,8941,5176968.54,11.3427,579.0144,40.0118,59.9881,0,9.982,9.982,225.31,0.00,3733.73,8105.77,408.7333,4904.80,38.9126,0.0075,1,0
3000000.00,1261143.74,69.0377,17.0731,4719340.1797,786556.6966,8941,5176968.54,11.3427,579.0144,40.0118,59.9881,0,9.982,9.982,225.32,0.00,3733.73,8105.77,408.7333,4904.80,38.9144,0.0075,1,0
3000000.00,1261143.74,69.0377,17.0731,4719340.1797,786556.6966,8941,5176968.54,11.3427,579.0144,38.8385,61.1614,0,0,0,373.36,0.00,2260.67,4022.73,271.508,1357.54,64.4819,0.0124,0,1
3000000.00,1261143.74,69.0377,17.0731,4719340.1797,786556.6966,8941,5176968.54,11.3427,579.0144,38.8385,61.1614,0,0,0,373.36,0.00,2260.67,4022.73,271.508,1357.54,64.4819,0.0124,0,1
3000000.00,1261143.74,69.0377,17.0731,4719340.1797,786556.6966,8941,5176968.54,11.3427,579.0144,38.8385,61.1614,0,0,0,373.37,0.00,2260.67,4022.73,271.508,1357.54,64.4837,0.0124,0,1
3000000.00,1261143.74,69.0377,17.0731,4719340.1797,786556.6966,8941,5176968.54,11.3427,579.0144,69.1792,30.8207,0,0,0,191.64,1415.61,5537.74,15671.34,482.7863,5310.65,33.0976,0.0063,0,1
3000000.00,1261143.74,69.0377,17.0731,4719340.1797,786556.6966,8941,5176968.54,11.3427,579.0144,69.1792,30.8207,0,0,0,191.64,1415.61,5537.74,15671.34,482.7863,5310.65,33.0976,0.0063,0,1
3000000.00,1261143.74,69.0377,17.0731,4719340.1797,786556.6966,8941,5176968.54,11.3427,579.0144,69.1792,30.8207,0,0,0,191.64,1415.61,5537.74,15671.34,482.7863,5310.65,33.0976,0.0063,0,1
3000000.00,1261143.74,69.0377,17.0731,4719340.1797,786556.6966,8941,5176968.54,11.3427,579.0144,85.7947,14.2052,0,14.2052,0,406.81,0.00,1194.34,2111.90,361.494,1807.47,70.259,0.0135,0,1
3000000.00,1261143.74,69.0377,17.0731,4719340.1797,786556.6966,8941,5176968.54,11.3427,579.0144,85.7947,14.2052,0,14.2052,0,406.81,0.00,1194.34,2111.90,361.494,1807.47,70.259,0.0135,0,1
3000000.00,1261143.74,69.0377,17.0731,4719340.1797,786556.6966,8941,5176968.54,11.3427,579.0144,85.7947,14.2052,0,14.2052,0,406.83,0.00,1194.34,2111.90,361.494,1807.47,70.2625,0.0135,0,1
3000000.00,1261143.74,69.0377,17.0731,4719340.1797,786556.6966,8941,5176968.54,11.3427,579.0144,79.398,20.6019,0,0,0,430.16,0.00,1908.54,4134.03,243.2235,4134.80,74.2917,0.0143,0,1
